label,benchmark,task,model_alias,method,lambda,n,error_rate,mean_rhat,verification_coverage,leakage_rate,normalized_loss,fold_design,delta_invariant
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,0.5,500,0.242,0.24200000000000002,0.0,0.242,0.242,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,isotonic,1.0,500,0.242,0.24200000000000002,0.0,0.242,0.242,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.001,500,0.242,0.24232026603960344,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.002,500,0.242,0.24232026603960344,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.005,500,0.242,0.24232026603960344,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.01,500,0.242,0.24232026603960344,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.02,500,0.242,0.24232026603960344,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.05,500,0.242,0.24232026603960344,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.1,500,0.242,0.24232026603960344,0.826,0.012,0.0946,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.2,500,0.242,0.24232026603960344,0.56,0.052,0.164,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,0.5,500,0.242,0.24232026603960344,0.072,0.196,0.232,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,mmlu,anthropic_sonnet5,logistic,1.0,500,0.242,0.24232026603960344,0.0,0.242,0.242,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.001,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.002,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.005,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.01,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.02,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.05,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.1,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.2,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.2,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,0.5,286,0.534965034965035,0.5362351739752583,1.0,0.0,0.5,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,isotonic,1.0,286,0.534965034965035,0.5362351739752583,0.0,0.534965034965035,0.534965034965035,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.001,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.002,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.005,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.01,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.02,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.05,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.1,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.2,286,0.534965034965035,0.5344985511651599,1.0,0.0,0.2,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,0.5,286,0.534965034965035,0.5344985511651599,0.16083916083916083,0.3811188811188811,0.4615384615384615,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,openai_gpt56_sol,logistic,1.0,286,0.534965034965035,0.5344985511651599,0.0,0.534965034965035,0.534965034965035,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.001,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.002,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.005,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.01,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.02,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.05,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.1,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.2,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.2,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,0.5,286,0.5699300699300699,0.5699311414089625,1.0,0.0,0.5,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,isotonic,1.0,286,0.5699300699300699,0.5699311414089625,0.0,0.5699300699300699,0.5699300699300699,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.001,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.001,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.002,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.002,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.005,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.005,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.01,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.01,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.02,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.02,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.05,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.05,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.1,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.1,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.2,286,0.5699300699300699,0.5686741766149683,1.0,0.0,0.2,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,0.5,286,0.5699300699300699,0.5686741766149683,0.5,0.1888111888111888,0.4388111888111888,5-fold OOF KFold shuffle seed=20260928,True
POST_HOC_NORMATIVE_REANALYSIS,Q1_ONLY_CALIBRATED_BASELINE,code,anthropic_sonnet5,logistic,1.0,286,0.5699300699300699,0.5686741766149683,0.0,0.5699300699300699,0.5699300699300699,5-fold OOF KFold shuffle seed=20260928,True
