label,task,model_alias,delta,lambda,loss_delta,loss_delta0,pass_through_regret,zero_crossing_lambda,positive_regret_lambda_interval,negative_regret_lambda_interval,worst_positive_regret_on_grid,best_improvement_on_grid
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,0.5,0.182,0.182,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.0,1.0,0.244,0.244,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.001,0.14207999999999998,0.120124,0.02195599999999999,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.002,0.14215999999999998,0.120248,0.021911999999999987,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.005,0.1424,0.12061999999999999,0.021780000000000008,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.01,0.14279999999999998,0.12124,0.021559999999999982,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.02,0.14359999999999998,0.12247999999999999,0.021119999999999986,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.05,0.146,0.1262,0.019799999999999984,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.1,0.15,0.1324,0.017600000000000005,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.2,0.15799999999999997,0.14479999999999998,0.01319999999999999,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,0.5,0.182,0.182,0.0,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,0.75,1.0,0.22199999999999998,0.244,-0.02200000000000002,0.49999999999999983,"(0, 0.5)","(0.5, inf)",0.02195599999999999,-0.02200000000000002
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.001,0.150068,0.120124,0.029944000000000012,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.002,0.150136,0.120248,0.029887999999999998,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.005,0.15034,0.12061999999999999,0.02972000000000001,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.01,0.15067999999999998,0.12124,0.02943999999999998,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.02,0.15136,0.12247999999999999,0.028880000000000003,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.05,0.15339999999999998,0.1262,0.027199999999999974,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.1,0.1568,0.1324,0.024400000000000005,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.2,0.1636,0.14479999999999998,0.01880000000000001,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,0.5,0.184,0.182,0.0020000000000000018,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,openai_gpt56_sol,1.5,1.0,0.218,0.244,-0.025999999999999995,0.5357142857142857,"(0, 0.535714)","(0.535714, inf)",0.029944000000000012,-0.025999999999999995
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.001,0.000916,0.010794,-0.009878,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.002,0.001832,0.011588000000000001,-0.009756,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.005,0.00458,0.01397,-0.009389999999999999,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.01,0.00916,0.01794,-0.008780000000000001,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.02,0.01832,0.02588,-0.007560000000000001,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.05,0.04580000000000001,0.04970000000000001,-0.0039000000000000007,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.1,0.09160000000000001,0.08940000000000001,0.0022000000000000075,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.2,0.18320000000000003,0.16880000000000003,0.014399999999999996,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,0.5,0.458,0.40700000000000003,0.05099999999999999,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-1.5,1.0,0.916,0.804,0.11199999999999999,0.0819672131147541,"(0.0819672, inf)","(0, 0.0819672)",0.11199999999999999,-0.009878
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.001,0.004852,0.010794,-0.005941999999999999,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.002,0.005704,0.011588000000000001,-0.005884000000000001,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.005,0.00826,0.01397,-0.00571,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.01,0.01252,0.01794,-0.005420000000000001,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.02,0.02104,0.02588,-0.0048400000000000006,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.05,0.0466,0.04970000000000001,-0.0031000000000000055,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.1,0.0892,0.08940000000000001,-0.00020000000000000573,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.2,0.1744,0.16880000000000003,0.005599999999999966,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,0.5,0.43,0.40700000000000003,0.022999999999999965,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,-0.75,1.0,0.856,0.804,0.051999999999999935,0.10344827586206908,"(0.103448, inf)","(0, 0.103448)",0.051999999999999935,-0.005941999999999999
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.001,0.010794,0.010794,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.002,0.011588000000000001,0.011588000000000001,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.005,0.01397,0.01397,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.01,0.01794,0.01794,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.02,0.02588,0.02588,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.05,0.04970000000000001,0.04970000000000001,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.1,0.08940000000000001,0.08940000000000001,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.2,0.16880000000000003,0.16880000000000003,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,0.5,0.40700000000000003,0.40700000000000003,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.0,1.0,0.804,0.804,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.001,0.018699999999999998,0.010794,0.007905999999999998,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.002,0.019399999999999997,0.011588000000000001,0.007811999999999996,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.005,0.0215,0.01397,0.0075299999999999985,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.01,0.024999999999999998,0.01794,0.007059999999999997,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.02,0.032,0.02588,0.0061200000000000004,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.05,0.05299999999999999,0.04970000000000001,0.0032999999999999835,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.1,0.088,0.08940000000000001,-0.0014000000000000123,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.2,0.15799999999999997,0.16880000000000003,-0.01080000000000006,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,0.5,0.368,0.40700000000000003,-0.039000000000000035,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,0.75,1.0,0.718,0.804,-0.08600000000000008,0.08510638297872332,"(0, 0.0851064)","(0.0851064, inf)",0.007905999999999998,-0.08600000000000008
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.001,0.034604,0.010794,0.023810000000000005,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.002,0.035208,0.011588000000000001,0.023620000000000002,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.005,0.037020000000000004,0.01397,0.023050000000000005,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.01,0.040040000000000006,0.01794,0.022100000000000005,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.02,0.04608,0.02588,0.020200000000000003,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.05,0.06420000000000001,0.04970000000000001,0.014499999999999999,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.1,0.09440000000000001,0.08940000000000001,0.0050000000000000044,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.2,0.1548,0.16880000000000003,-0.01400000000000004,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,0.5,0.33599999999999997,0.40700000000000003,-0.07100000000000006,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,mmlu,anthropic_sonnet5,1.5,1.0,0.638,0.804,-0.16600000000000004,0.1263157894736842,"(0, 0.126316)","(0.126316, inf)",0.023810000000000005,-0.16600000000000004
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.001,0.31145104895104897,0.29747552447552444,0.013975524475524526,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.002,0.31171328671328674,0.29774825174825176,0.013965034965034984,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.005,0.3125,0.29856643356643353,0.013933566433566469,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.01,0.3138111888111888,0.29993006993006993,0.01388111888111887,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.02,0.31643356643356646,0.3026573426573426,0.01377622377622384,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.05,0.3243006993006993,0.3108391608391608,0.013461538461538525,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.1,0.3374125874125874,0.32447552447552447,0.012937062937062926,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.2,0.36363636363636365,0.35174825174825175,0.011888111888111896,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,0.5,0.4423076923076923,0.43356643356643354,0.00874125874125875,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-1.5,1.0,0.5734265734265734,0.5699300699300699,0.0034965034965035446,1.3333333333333386,"(0, 1.33333)","(1.33333, inf)",0.013975524475524526,0.0034965034965035446
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.001,0.3219230769230769,0.29747552447552444,0.02444755244755248,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.002,0.3221678321678322,0.29774825174825176,0.024419580419580422,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.005,0.3229020979020979,0.29856643356643353,0.024335664335664364,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.01,0.3241258741258741,0.29993006993006993,0.024195804195804194,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.02,0.3265734265734266,0.3026573426573426,0.023916083916083963,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.05,0.3339160839160839,0.3108391608391608,0.023076923076923106,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.1,0.34615384615384615,0.32447552447552447,0.021678321678321677,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.2,0.3706293706293706,0.35174825174825175,0.018881118881118875,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,0.5,0.44405594405594406,0.43356643356643354,0.010489510489510523,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,-0.75,1.0,0.5664335664335665,0.5699300699300699,-0.0034965034965034336,0.8750000000000011,"(0, 0.875)","(0.875, inf)",0.02444755244755248,-0.0034965034965034336
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.001,0.29747552447552444,0.29747552447552444,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.002,0.29774825174825176,0.29774825174825176,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.005,0.29856643356643353,0.29856643356643353,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.01,0.29993006993006993,0.29993006993006993,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.02,0.3026573426573426,0.3026573426573426,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.05,0.3108391608391608,0.3108391608391608,0.0,,,,,
POST_HOC_NORMATIVE_REANALYSIS,code,openai_gpt56_sol,0.0,0.1,0.32447552447552447,0.32447552447552447,0.0,,,,,
