model_alias,model_label,family,score_condition,n,n_verify,n_use,verify_rate,ci_lower,ci_upper,subset,kind,from_score,to_score,n_questions,mean_delta_verify,n_increased,n_decreased,n_unchanged,pilot20_0.70_to_0.99,remaining80_0.70_to_0.99,same_sign
openai_gpt56_sol,GPT,stronger,displayed_0.90,80,33,47,0.4125,0.3125,0.525,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,GPT,stronger,displayed_0.99,80,12,68,0.15,0.075,0.2375,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,hidden,80,52,28,0.65,0.55,0.75,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.70,80,71,9,0.8875,0.8125,0.95,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.90,80,64,16,0.8,0.7125,0.8875,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,moderate,displayed_0.99,80,46,34,0.575,0.4625,0.6875,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,hidden,80,57,23,0.7125,0.6125,0.8125,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.70,80,74,6,0.925,0.8625,0.975,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.90,80,67,13,0.8375,0.75,0.9125,remaining80,rate,,,,,,,,,,
anthropic_sonnet5,Claude,stronger,displayed_0.99,80,54,26,0.675,0.575,0.775,remaining80,rate,,,,,,,,,,
openai_gpt56_sol,,moderate,,,,,,-0.475,-0.25,remaining80,score_delta,0.7,0.9,80,-0.3625,0,29,51,,,
openai_gpt56_sol,,moderate,,,,,,-0.2,-0.0625,remaining80,score_delta,0.9,0.99,80,-0.125,0,10,70,,,
openai_gpt56_sol,,moderate,,,,,,-0.6,-0.375,remaining80,score_delta,0.7,0.99,80,-0.4875,0,39,41,,,
openai_gpt56_sol,,stronger,,,,,,-0.6125,-0.3875,remaining80,score_delta,0.7,0.9,80,-0.5,0,40,40,,,
openai_gpt56_sol,,stronger,,,,,,-0.375,-0.1625,remaining80,score_delta,0.9,0.99,80,-0.2625,1,22,57,,,
openai_gpt56_sol,,stronger,,,,,,-0.85,-0.6625,remaining80,score_delta,0.7,0.99,80,-0.7625,0,61,19,,,
anthropic_sonnet5,,moderate,,,,,,-0.15,-0.025,remaining80,score_delta,0.7,0.9,80,-0.0875,0,7,73,,,
anthropic_sonnet5,,moderate,,,,,,-0.325,-0.1375,remaining80,score_delta,0.9,0.99,80,-0.225,0,18,62,,,
anthropic_sonnet5,,moderate,,,,,,-0.4125,-0.2125,remaining80,score_delta,0.7,0.99,80,-0.3125,0,25,55,,,
anthropic_sonnet5,,stronger,,,,,,-0.15,-0.0375,remaining80,score_delta,0.7,0.9,80,-0.0875,0,7,73,,,
anthropic_sonnet5,,stronger,,,,,,-0.25,-0.0875,remaining80,score_delta,0.9,0.99,80,-0.1625,0,13,67,,,
anthropic_sonnet5,,stronger,,,,,,-0.35,-0.1625,remaining80,score_delta,0.7,0.99,80,-0.25,0,20,60,,,
openai_gpt56_sol,,moderate,,,,,,,,,direction_replication,,,,,,,,-0.65,-0.4875,True
openai_gpt56_sol,,stronger,,,,,,,,,direction_replication,,,,,,,,-0.75,-0.7625,True
anthropic_sonnet5,,moderate,,,,,,,,,direction_replication,,,,,,,,-0.3,-0.3125,True
anthropic_sonnet5,,stronger,,,,,,,,,direction_replication,,,,,,,,-0.3,-0.25,True
