model_id,category,error_cost,n,answer_accuracy,verify_rate,unsafe_reliance,mean_regret
openai_gpt56_sol,business,2.0,14,0.9285714285714286,0.07142857142857142,1.0,0.14285714285714285
openai_gpt56_sol,business,5.0,14,0.9285714285714286,0.21428571428571427,1.0,0.5
openai_gpt56_sol,business,10.0,14,0.9285714285714286,0.14285714285714285,1.0,0.7857142857142857
openai_gpt56_sol,business,20.0,14,0.9285714285714286,0.14285714285714285,1.0,1.5
openai_gpt56_sol,chemistry,2.0,15,0.8,0.06666666666666667,1.0,0.26666666666666666
openai_gpt56_sol,chemistry,5.0,15,0.8,0.13333333333333333,0.6666666666666666,0.6
openai_gpt56_sol,chemistry,10.0,15,0.8,0.13333333333333333,1.0,1.9333333333333333
openai_gpt56_sol,chemistry,20.0,15,0.8,0.06666666666666667,1.0,3.8666666666666667
openai_gpt56_sol,computer science,2.0,14,1.0,0.21428571428571427,,0.21428571428571427
openai_gpt56_sol,computer science,5.0,14,1.0,0.14285714285714285,,0.14285714285714285
openai_gpt56_sol,computer science,10.0,14,1.0,0.14285714285714285,,0.14285714285714285
openai_gpt56_sol,computer science,20.0,14,1.0,0.14285714285714285,,0.14285714285714285
openai_gpt56_sol,economics,2.0,14,0.8571428571428571,0.14285714285714285,0.0,0.0
openai_gpt56_sol,economics,5.0,14,0.8571428571428571,0.21428571428571427,0.0,0.07142857142857142
openai_gpt56_sol,economics,10.0,14,0.8571428571428571,0.14285714285714285,0.0,0.0
openai_gpt56_sol,economics,20.0,14,0.8571428571428571,0.14285714285714285,0.0,0.0
openai_gpt56_sol,engineering,2.0,15,0.8,0.6,0.3333333333333333,0.5333333333333333
openai_gpt56_sol,engineering,5.0,15,0.8,0.5333333333333333,0.3333333333333333,0.6666666666666666
openai_gpt56_sol,engineering,10.0,15,0.8,0.5333333333333333,0.3333333333333333,1.0
openai_gpt56_sol,engineering,20.0,15,0.8,0.6,0.0,0.4
openai_gpt56_sol,health,2.0,14,0.7857142857142857,0.07142857142857142,1.0,0.2857142857142857
openai_gpt56_sol,health,5.0,14,0.7857142857142857,0.14285714285714285,0.6666666666666666,0.6428571428571429
openai_gpt56_sol,health,10.0,14,0.7857142857142857,0.21428571428571427,0.6666666666666666,1.4285714285714286
openai_gpt56_sol,health,20.0,14,0.7857142857142857,0.14285714285714285,0.6666666666666666,2.7857142857142856
openai_gpt56_sol,history,2.0,14,0.7857142857142857,0.07142857142857142,1.0,0.2857142857142857
openai_gpt56_sol,history,5.0,14,0.7857142857142857,0.14285714285714285,1.0,1.0
openai_gpt56_sol,history,10.0,14,0.7857142857142857,0.14285714285714285,1.0,2.0714285714285716
openai_gpt56_sol,history,20.0,14,0.7857142857142857,0.14285714285714285,1.0,4.214285714285714
openai_gpt56_sol,law,2.0,14,0.7142857142857143,0.14285714285714285,0.5,0.14285714285714285
openai_gpt56_sol,law,5.0,14,0.7142857142857143,0.07142857142857142,0.75,0.8571428571428571
openai_gpt56_sol,law,10.0,14,0.7142857142857143,0.14285714285714285,0.5,1.2857142857142858
openai_gpt56_sol,law,20.0,14,0.7142857142857143,0.14285714285714285,0.5,2.7142857142857144
openai_gpt56_sol,math,2.0,14,0.7142857142857143,0.0,1.0,0.2857142857142857
openai_gpt56_sol,math,5.0,14,0.7142857142857143,0.14285714285714285,0.75,0.9285714285714286
openai_gpt56_sol,math,10.0,14,0.7142857142857143,0.14285714285714285,1.0,2.7142857142857144
openai_gpt56_sol,math,20.0,14,0.7142857142857143,0.14285714285714285,1.0,5.571428571428571
openai_gpt56_sol,other,2.0,15,0.8,0.2,0.3333333333333333,0.13333333333333333
openai_gpt56_sol,other,5.0,15,0.8,0.26666666666666666,0.3333333333333333,0.4
openai_gpt56_sol,other,10.0,15,0.8,0.26666666666666666,0.0,0.06666666666666667
openai_gpt56_sol,other,20.0,15,0.8,0.3333333333333333,0.0,0.13333333333333333
openai_gpt56_sol,philosophy,2.0,14,0.7857142857142857,0.21428571428571427,0.6666666666666666,0.2857142857142857
openai_gpt56_sol,philosophy,5.0,14,0.7857142857142857,0.21428571428571427,0.6666666666666666,0.7142857142857143
openai_gpt56_sol,philosophy,10.0,14,0.7857142857142857,0.21428571428571427,1.0,2.142857142857143
openai_gpt56_sol,philosophy,20.0,14,0.7857142857142857,0.21428571428571427,0.6666666666666666,2.857142857142857
openai_gpt56_sol,physics,2.0,14,0.8571428571428571,0.14285714285714285,0.5,0.14285714285714285
openai_gpt56_sol,physics,5.0,14,0.8571428571428571,0.21428571428571427,0.0,0.07142857142857142
openai_gpt56_sol,physics,10.0,14,0.8571428571428571,0.14285714285714285,0.5,0.7142857142857143
openai_gpt56_sol,physics,20.0,14,0.8571428571428571,0.14285714285714285,0.5,1.4285714285714286
openai_gpt56_sol,psychology,2.0,14,1.0,0.0,,0.0
openai_gpt56_sol,psychology,5.0,14,1.0,0.0,,0.0
openai_gpt56_sol,psychology,10.0,14,1.0,0.0,,0.0
openai_gpt56_sol,psychology,20.0,14,1.0,0.07142857142857142,,0.07142857142857142
