attempt_index,provider,requested_model_id,model_alias
84,openai,gpt-5.6-sol,openai_gpt56_sol
85,anthropic,claude-sonnet-5,anthropic_sonnet5
86,anthropic,claude-sonnet-5,anthropic_sonnet5
87,anthropic,claude-sonnet-5,anthropic_sonnet5
88,anthropic,claude-sonnet-5,anthropic_sonnet5
89,anthropic,claude-sonnet-5,anthropic_sonnet5
90,anthropic,claude-sonnet-5,anthropic_sonnet5
91,anthropic,claude-sonnet-5,anthropic_sonnet5
92,anthropic,claude-sonnet-5,anthropic_sonnet5
93,anthropic,claude-sonnet-5,anthropic_sonnet5
94,anthropic,claude-sonnet-5,anthropic_sonnet5
95,anthropic,claude-sonnet-5,anthropic_sonnet5
96,anthropic,claude-sonnet-5,anthropic_sonnet5
97,anthropic,claude-sonnet-5,anthropic_sonnet5
98,anthropic,claude-sonnet-5,anthropic_sonnet5
99,anthropic,claude-sonnet-5,anthropic_sonnet5
100,anthropic,claude-sonnet-5,anthropic_sonnet5
101,anthropic,claude-sonnet-5,anthropic_sonnet5
102,anthropic,claude-sonnet-5,anthropic_sonnet5
103,anthropic,claude-sonnet-5,anthropic_sonnet5
104,anthropic,claude-sonnet-5,anthropic_sonnet5
105,anthropic,claude-sonnet-5,anthropic_sonnet5
106,anthropic,claude-sonnet-5,anthropic_sonnet5
107,anthropic,claude-sonnet-5,anthropic_sonnet5
108,anthropic,claude-sonnet-5,anthropic_sonnet5
109,anthropic,claude-sonnet-5,anthropic_sonnet5
110,anthropic,claude-sonnet-5,anthropic_sonnet5
111,anthropic,claude-sonnet-5,anthropic_sonnet5
112,anthropic,claude-sonnet-5,anthropic_sonnet5
113,openai,gpt-5.6-sol,openai_gpt56_sol
114,openai,gpt-5.6-sol,openai_gpt56_sol
115,openai,gpt-5.6-sol,openai_gpt56_sol
116,openai,gpt-5.6-sol,openai_gpt56_sol
117,openai,gpt-5.6-sol,openai_gpt56_sol
118,openai,gpt-5.6-sol,openai_gpt56_sol
119,openai,gpt-5.6-sol,openai_gpt56_sol
120,openai,gpt-5.6-sol,openai_gpt56_sol
121,openai,gpt-5.6-sol,openai_gpt56_sol
122,openai,gpt-5.6-sol,openai_gpt56_sol
123,openai,gpt-5.6-sol,openai_gpt56_sol
124,openai,gpt-5.6-sol,openai_gpt56_sol
125,openai,gpt-5.6-sol,openai_gpt56_sol
126,openai,gpt-5.6-sol,openai_gpt56_sol
127,openai,gpt-5.6-sol,openai_gpt56_sol
128,openai,gpt-5.6-sol,openai_gpt56_sol
129,openai,gpt-5.6-sol,openai_gpt56_sol
130,openai,gpt-5.6-sol,openai_gpt56_sol
131,openai,gpt-5.6-sol,openai_gpt56_sol
132,openai,gpt-5.6-sol,openai_gpt56_sol
133,openai,gpt-5.6-sol,openai_gpt56_sol
134,openai,gpt-5.6-sol,openai_gpt56_sol
135,openai,gpt-5.6-sol,openai_gpt56_sol
136,openai,gpt-5.6-sol,openai_gpt56_sol
137,openai,gpt-5.6-sol,openai_gpt56_sol
138,openai,gpt-5.6-sol,openai_gpt56_sol
139,openai,gpt-5.6-sol,openai_gpt56_sol
140,openai,gpt-5.6-sol,openai_gpt56_sol
141,anthropic,claude-sonnet-5,anthropic_sonnet5
142,anthropic,claude-sonnet-5,anthropic_sonnet5
143,anthropic,claude-sonnet-5,anthropic_sonnet5
144,anthropic,claude-sonnet-5,anthropic_sonnet5
145,anthropic,claude-sonnet-5,anthropic_sonnet5
146,anthropic,claude-sonnet-5,anthropic_sonnet5
147,anthropic,claude-sonnet-5,anthropic_sonnet5
148,anthropic,claude-sonnet-5,anthropic_sonnet5
149,anthropic,claude-sonnet-5,anthropic_sonnet5
150,anthropic,claude-sonnet-5,anthropic_sonnet5
151,anthropic,claude-sonnet-5,anthropic_sonnet5
152,anthropic,claude-sonnet-5,anthropic_sonnet5
153,anthropic,claude-sonnet-5,anthropic_sonnet5
154,anthropic,claude-sonnet-5,anthropic_sonnet5
155,anthropic,claude-sonnet-5,anthropic_sonnet5
156,anthropic,claude-sonnet-5,anthropic_sonnet5
157,anthropic,claude-sonnet-5,anthropic_sonnet5
158,anthropic,claude-sonnet-5,anthropic_sonnet5
159,anthropic,claude-sonnet-5,anthropic_sonnet5
160,anthropic,claude-sonnet-5,anthropic_sonnet5
161,anthropic,claude-sonnet-5,anthropic_sonnet5
162,anthropic,claude-sonnet-5,anthropic_sonnet5
163,anthropic,claude-sonnet-5,anthropic_sonnet5
164,anthropic,claude-sonnet-5,anthropic_sonnet5
165,anthropic,claude-sonnet-5,anthropic_sonnet5
166,anthropic,claude-sonnet-5,anthropic_sonnet5
167,anthropic,claude-sonnet-5,anthropic_sonnet5
168,anthropic,claude-sonnet-5,anthropic_sonnet5
169,anthropic,claude-sonnet-5,anthropic_sonnet5
170,openai,gpt-5.6-sol,openai_gpt56_sol
171,openai,gpt-5.6-sol,openai_gpt56_sol
172,openai,gpt-5.6-sol,openai_gpt56_sol
173,openai,gpt-5.6-sol,openai_gpt56_sol
174,openai,gpt-5.6-sol,openai_gpt56_sol
175,openai,gpt-5.6-sol,openai_gpt56_sol
176,openai,gpt-5.6-sol,openai_gpt56_sol
177,openai,gpt-5.6-sol,openai_gpt56_sol
178,openai,gpt-5.6-sol,openai_gpt56_sol
179,openai,gpt-5.6-sol,openai_gpt56_sol
180,anthropic,claude-sonnet-5,anthropic_sonnet5
181,openai,gpt-5.6-sol,openai_gpt56_sol
182,openai,gpt-5.6-sol,openai_gpt56_sol
183,openai,gpt-5.6-sol,openai_gpt56_sol
184,openai,gpt-5.6-sol,openai_gpt56_sol
185,openai,gpt-5.6-sol,openai_gpt56_sol
186,openai,gpt-5.6-sol,openai_gpt56_sol
187,openai,gpt-5.6-sol,openai_gpt56_sol
188,openai,gpt-5.6-sol,openai_gpt56_sol
189,openai,gpt-5.6-sol,openai_gpt56_sol
190,openai,gpt-5.6-sol,openai_gpt56_sol
191,openai,gpt-5.6-sol,openai_gpt56_sol
192,openai,gpt-5.6-sol,openai_gpt56_sol
193,openai,gpt-5.6-sol,openai_gpt56_sol
194,openai,gpt-5.6-sol,openai_gpt56_sol
195,openai,gpt-5.6-sol,openai_gpt56_sol
196,openai,gpt-5.6-sol,openai_gpt56_sol
197,openai,gpt-5.6-sol,openai_gpt56_sol
198,openai,gpt-5.6-sol,openai_gpt56_sol
199,anthropic,claude-sonnet-5,anthropic_sonnet5
200,anthropic,claude-sonnet-5,anthropic_sonnet5
201,anthropic,claude-sonnet-5,anthropic_sonnet5
202,anthropic,claude-sonnet-5,anthropic_sonnet5
203,anthropic,claude-sonnet-5,anthropic_sonnet5
204,anthropic,claude-sonnet-5,anthropic_sonnet5
205,anthropic,claude-sonnet-5,anthropic_sonnet5
206,anthropic,claude-sonnet-5,anthropic_sonnet5
207,anthropic,claude-sonnet-5,anthropic_sonnet5
208,anthropic,claude-sonnet-5,anthropic_sonnet5
209,anthropic,claude-sonnet-5,anthropic_sonnet5
210,anthropic,claude-sonnet-5,anthropic_sonnet5
211,anthropic,claude-sonnet-5,anthropic_sonnet5
212,anthropic,claude-sonnet-5,anthropic_sonnet5
213,anthropic,claude-sonnet-5,anthropic_sonnet5
214,anthropic,claude-sonnet-5,anthropic_sonnet5
215,anthropic,claude-sonnet-5,anthropic_sonnet5
216,anthropic,claude-sonnet-5,anthropic_sonnet5
217,anthropic,claude-sonnet-5,anthropic_sonnet5
218,anthropic,claude-sonnet-5,anthropic_sonnet5
219,anthropic,claude-sonnet-5,anthropic_sonnet5
220,anthropic,claude-sonnet-5,anthropic_sonnet5
221,anthropic,claude-sonnet-5,anthropic_sonnet5
222,anthropic,claude-sonnet-5,anthropic_sonnet5
223,anthropic,claude-sonnet-5,anthropic_sonnet5
224,anthropic,claude-sonnet-5,anthropic_sonnet5
225,anthropic,claude-sonnet-5,anthropic_sonnet5
226,anthropic,claude-sonnet-5,anthropic_sonnet5
227,openai,gpt-5.6-sol,openai_gpt56_sol
228,openai,gpt-5.6-sol,openai_gpt56_sol
229,openai,gpt-5.6-sol,openai_gpt56_sol
230,openai,gpt-5.6-sol,openai_gpt56_sol
231,openai,gpt-5.6-sol,openai_gpt56_sol
232,openai,gpt-5.6-sol,openai_gpt56_sol
233,openai,gpt-5.6-sol,openai_gpt56_sol
234,openai,gpt-5.6-sol,openai_gpt56_sol
235,openai,gpt-5.6-sol,openai_gpt56_sol
236,openai,gpt-5.6-sol,openai_gpt56_sol
237,openai,gpt-5.6-sol,openai_gpt56_sol
238,openai,gpt-5.6-sol,openai_gpt56_sol
239,openai,gpt-5.6-sol,openai_gpt56_sol
240,openai,gpt-5.6-sol,openai_gpt56_sol
241,openai,gpt-5.6-sol,openai_gpt56_sol
242,openai,gpt-5.6-sol,openai_gpt56_sol
243,openai,gpt-5.6-sol,openai_gpt56_sol
244,openai,gpt-5.6-sol,openai_gpt56_sol
245,openai,gpt-5.6-sol,openai_gpt56_sol
246,openai,gpt-5.6-sol,openai_gpt56_sol
247,openai,gpt-5.6-sol,openai_gpt56_sol
248,openai,gpt-5.6-sol,openai_gpt56_sol
249,openai,gpt-5.6-sol,openai_gpt56_sol
250,openai,gpt-5.6-sol,openai_gpt56_sol
251,openai,gpt-5.6-sol,openai_gpt56_sol
252,openai,gpt-5.6-sol,openai_gpt56_sol
253,openai,gpt-5.6-sol,openai_gpt56_sol
254,openai,gpt-5.6-sol,openai_gpt56_sol
255,anthropic,claude-sonnet-5,anthropic_sonnet5
256,anthropic,claude-sonnet-5,anthropic_sonnet5
257,anthropic,claude-sonnet-5,anthropic_sonnet5
258,anthropic,claude-sonnet-5,anthropic_sonnet5
259,anthropic,claude-sonnet-5,anthropic_sonnet5
260,anthropic,claude-sonnet-5,anthropic_sonnet5
261,anthropic,claude-sonnet-5,anthropic_sonnet5
262,anthropic,claude-sonnet-5,anthropic_sonnet5
263,anthropic,claude-sonnet-5,anthropic_sonnet5
264,anthropic,claude-sonnet-5,anthropic_sonnet5
265,anthropic,claude-sonnet-5,anthropic_sonnet5
266,anthropic,claude-sonnet-5,anthropic_sonnet5
267,anthropic,claude-sonnet-5,anthropic_sonnet5
268,anthropic,claude-sonnet-5,anthropic_sonnet5
269,anthropic,claude-sonnet-5,anthropic_sonnet5
270,anthropic,claude-sonnet-5,anthropic_sonnet5
271,anthropic,claude-sonnet-5,anthropic_sonnet5
272,anthropic,claude-sonnet-5,anthropic_sonnet5
273,anthropic,claude-sonnet-5,anthropic_sonnet5
274,anthropic,claude-sonnet-5,anthropic_sonnet5
275,anthropic,claude-sonnet-5,anthropic_sonnet5
276,anthropic,claude-sonnet-5,anthropic_sonnet5
277,anthropic,claude-sonnet-5,anthropic_sonnet5
278,anthropic,claude-sonnet-5,anthropic_sonnet5
279,anthropic,claude-sonnet-5,anthropic_sonnet5
280,anthropic,claude-sonnet-5,anthropic_sonnet5
281,anthropic,claude-sonnet-5,anthropic_sonnet5
282,anthropic,claude-sonnet-5,anthropic_sonnet5
283,openai,gpt-5.6-sol,openai_gpt56_sol
284,openai,gpt-5.6-sol,openai_gpt56_sol
285,openai,gpt-5.6-sol,openai_gpt56_sol
286,openai,gpt-5.6-sol,openai_gpt56_sol
287,openai,gpt-5.6-sol,openai_gpt56_sol
288,openai,gpt-5.6-sol,openai_gpt56_sol
289,openai,gpt-5.6-sol,openai_gpt56_sol
290,openai,gpt-5.6-sol,openai_gpt56_sol
291,openai,gpt-5.6-sol,openai_gpt56_sol
292,openai,gpt-5.6-sol,openai_gpt56_sol
293,openai,gpt-5.6-sol,openai_gpt56_sol
294,openai,gpt-5.6-sol,openai_gpt56_sol
295,openai,gpt-5.6-sol,openai_gpt56_sol
296,openai,gpt-5.6-sol,openai_gpt56_sol
297,openai,gpt-5.6-sol,openai_gpt56_sol
298,openai,gpt-5.6-sol,openai_gpt56_sol
299,openai,gpt-5.6-sol,openai_gpt56_sol
300,openai,gpt-5.6-sol,openai_gpt56_sol
301,openai,gpt-5.6-sol,openai_gpt56_sol
302,openai,gpt-5.6-sol,openai_gpt56_sol
303,openai,gpt-5.6-sol,openai_gpt56_sol
304,openai,gpt-5.6-sol,openai_gpt56_sol
305,openai,gpt-5.6-sol,openai_gpt56_sol
306,openai,gpt-5.6-sol,openai_gpt56_sol
307,openai,gpt-5.6-sol,openai_gpt56_sol
308,openai,gpt-5.6-sol,openai_gpt56_sol
309,openai,gpt-5.6-sol,openai_gpt56_sol
310,openai,gpt-5.6-sol,openai_gpt56_sol
311,anthropic,claude-sonnet-5,anthropic_sonnet5
312,anthropic,claude-sonnet-5,anthropic_sonnet5
313,anthropic,claude-sonnet-5,anthropic_sonnet5
314,anthropic,claude-sonnet-5,anthropic_sonnet5
315,anthropic,claude-sonnet-5,anthropic_sonnet5
316,anthropic,claude-sonnet-5,anthropic_sonnet5
317,anthropic,claude-sonnet-5,anthropic_sonnet5
318,anthropic,claude-sonnet-5,anthropic_sonnet5
319,anthropic,claude-sonnet-5,anthropic_sonnet5
320,anthropic,claude-sonnet-5,anthropic_sonnet5
321,anthropic,claude-sonnet-5,anthropic_sonnet5
322,anthropic,claude-sonnet-5,anthropic_sonnet5
323,anthropic,claude-sonnet-5,anthropic_sonnet5
324,anthropic,claude-sonnet-5,anthropic_sonnet5
325,anthropic,claude-sonnet-5,anthropic_sonnet5
326,anthropic,claude-sonnet-5,anthropic_sonnet5
327,anthropic,claude-sonnet-5,anthropic_sonnet5
328,anthropic,claude-sonnet-5,anthropic_sonnet5
329,anthropic,claude-sonnet-5,anthropic_sonnet5
330,anthropic,claude-sonnet-5,anthropic_sonnet5
331,anthropic,claude-sonnet-5,anthropic_sonnet5
332,anthropic,claude-sonnet-5,anthropic_sonnet5
333,anthropic,claude-sonnet-5,anthropic_sonnet5
334,anthropic,claude-sonnet-5,anthropic_sonnet5
335,anthropic,claude-sonnet-5,anthropic_sonnet5
336,anthropic,claude-sonnet-5,anthropic_sonnet5
337,anthropic,claude-sonnet-5,anthropic_sonnet5
338,anthropic,claude-sonnet-5,anthropic_sonnet5
339,anthropic,claude-sonnet-5,anthropic_sonnet5
340,openai,gpt-5.6-sol,openai_gpt56_sol
341,openai,gpt-5.6-sol,openai_gpt56_sol
342,openai,gpt-5.6-sol,openai_gpt56_sol
343,openai,gpt-5.6-sol,openai_gpt56_sol
344,openai,gpt-5.6-sol,openai_gpt56_sol
345,openai,gpt-5.6-sol,openai_gpt56_sol
346,openai,gpt-5.6-sol,openai_gpt56_sol
347,openai,gpt-5.6-sol,openai_gpt56_sol
348,openai,gpt-5.6-sol,openai_gpt56_sol
349,openai,gpt-5.6-sol,openai_gpt56_sol
350,openai,gpt-5.6-sol,openai_gpt56_sol
351,openai,gpt-5.6-sol,openai_gpt56_sol
352,openai,gpt-5.6-sol,openai_gpt56_sol
353,openai,gpt-5.6-sol,openai_gpt56_sol
354,openai,gpt-5.6-sol,openai_gpt56_sol
355,openai,gpt-5.6-sol,openai_gpt56_sol
356,openai,gpt-5.6-sol,openai_gpt56_sol
357,openai,gpt-5.6-sol,openai_gpt56_sol
358,openai,gpt-5.6-sol,openai_gpt56_sol
359,openai,gpt-5.6-sol,openai_gpt56_sol
360,openai,gpt-5.6-sol,openai_gpt56_sol
361,openai,gpt-5.6-sol,openai_gpt56_sol
362,openai,gpt-5.6-sol,openai_gpt56_sol
363,openai,gpt-5.6-sol,openai_gpt56_sol
364,openai,gpt-5.6-sol,openai_gpt56_sol
365,openai,gpt-5.6-sol,openai_gpt56_sol
366,openai,gpt-5.6-sol,openai_gpt56_sol
367,openai,gpt-5.6-sol,openai_gpt56_sol
368,anthropic,claude-sonnet-5,anthropic_sonnet5
369,anthropic,claude-sonnet-5,anthropic_sonnet5
370,anthropic,claude-sonnet-5,anthropic_sonnet5
371,anthropic,claude-sonnet-5,anthropic_sonnet5
372,anthropic,claude-sonnet-5,anthropic_sonnet5
373,anthropic,claude-sonnet-5,anthropic_sonnet5
374,anthropic,claude-sonnet-5,anthropic_sonnet5
375,anthropic,claude-sonnet-5,anthropic_sonnet5
376,anthropic,claude-sonnet-5,anthropic_sonnet5
377,anthropic,claude-sonnet-5,anthropic_sonnet5
378,anthropic,claude-sonnet-5,anthropic_sonnet5
379,anthropic,claude-sonnet-5,anthropic_sonnet5
380,anthropic,claude-sonnet-5,anthropic_sonnet5
381,anthropic,claude-sonnet-5,anthropic_sonnet5
382,anthropic,claude-sonnet-5,anthropic_sonnet5
383,anthropic,claude-sonnet-5,anthropic_sonnet5
384,anthropic,claude-sonnet-5,anthropic_sonnet5
385,anthropic,claude-sonnet-5,anthropic_sonnet5
386,anthropic,claude-sonnet-5,anthropic_sonnet5
387,anthropic,claude-sonnet-5,anthropic_sonnet5
388,anthropic,claude-sonnet-5,anthropic_sonnet5
389,anthropic,claude-sonnet-5,anthropic_sonnet5
390,anthropic,claude-sonnet-5,anthropic_sonnet5
391,anthropic,claude-sonnet-5,anthropic_sonnet5
392,anthropic,claude-sonnet-5,anthropic_sonnet5
393,anthropic,claude-sonnet-5,anthropic_sonnet5
394,anthropic,claude-sonnet-5,anthropic_sonnet5
395,anthropic,claude-sonnet-5,anthropic_sonnet5
396,openai,gpt-5.6-sol,openai_gpt56_sol
397,openai,gpt-5.6-sol,openai_gpt56_sol
398,openai,gpt-5.6-sol,openai_gpt56_sol
399,openai,gpt-5.6-sol,openai_gpt56_sol
400,openai,gpt-5.6-sol,openai_gpt56_sol
401,openai,gpt-5.6-sol,openai_gpt56_sol
402,openai,gpt-5.6-sol,openai_gpt56_sol
403,openai,gpt-5.6-sol,openai_gpt56_sol
404,openai,gpt-5.6-sol,openai_gpt56_sol
405,openai,gpt-5.6-sol,openai_gpt56_sol
406,openai,gpt-5.6-sol,openai_gpt56_sol
407,openai,gpt-5.6-sol,openai_gpt56_sol
408,openai,gpt-5.6-sol,openai_gpt56_sol
409,openai,gpt-5.6-sol,openai_gpt56_sol
410,openai,gpt-5.6-sol,openai_gpt56_sol
411,openai,gpt-5.6-sol,openai_gpt56_sol
412,openai,gpt-5.6-sol,openai_gpt56_sol
413,openai,gpt-5.6-sol,openai_gpt56_sol
414,openai,gpt-5.6-sol,openai_gpt56_sol
415,openai,gpt-5.6-sol,openai_gpt56_sol
416,openai,gpt-5.6-sol,openai_gpt56_sol
417,openai,gpt-5.6-sol,openai_gpt56_sol
418,openai,gpt-5.6-sol,openai_gpt56_sol
419,openai,gpt-5.6-sol,openai_gpt56_sol
420,openai,gpt-5.6-sol,openai_gpt56_sol
421,openai,gpt-5.6-sol,openai_gpt56_sol
422,openai,gpt-5.6-sol,openai_gpt56_sol
423,openai,gpt-5.6-sol,openai_gpt56_sol
424,anthropic,claude-sonnet-5,anthropic_sonnet5
425,anthropic,claude-sonnet-5,anthropic_sonnet5
426,anthropic,claude-sonnet-5,anthropic_sonnet5
427,anthropic,claude-sonnet-5,anthropic_sonnet5
428,anthropic,claude-sonnet-5,anthropic_sonnet5
429,anthropic,claude-sonnet-5,anthropic_sonnet5
430,anthropic,claude-sonnet-5,anthropic_sonnet5
431,anthropic,claude-sonnet-5,anthropic_sonnet5
432,anthropic,claude-sonnet-5,anthropic_sonnet5
433,anthropic,claude-sonnet-5,anthropic_sonnet5
434,anthropic,claude-sonnet-5,anthropic_sonnet5
435,anthropic,claude-sonnet-5,anthropic_sonnet5
436,anthropic,claude-sonnet-5,anthropic_sonnet5
437,anthropic,claude-sonnet-5,anthropic_sonnet5
438,anthropic,claude-sonnet-5,anthropic_sonnet5
439,anthropic,claude-sonnet-5,anthropic_sonnet5
440,anthropic,claude-sonnet-5,anthropic_sonnet5
441,anthropic,claude-sonnet-5,anthropic_sonnet5
442,anthropic,claude-sonnet-5,anthropic_sonnet5
443,anthropic,claude-sonnet-5,anthropic_sonnet5
444,anthropic,claude-sonnet-5,anthropic_sonnet5
445,anthropic,claude-sonnet-5,anthropic_sonnet5
446,anthropic,claude-sonnet-5,anthropic_sonnet5
447,anthropic,claude-sonnet-5,anthropic_sonnet5
448,anthropic,claude-sonnet-5,anthropic_sonnet5
449,anthropic,claude-sonnet-5,anthropic_sonnet5
450,anthropic,claude-sonnet-5,anthropic_sonnet5
451,anthropic,claude-sonnet-5,anthropic_sonnet5
452,anthropic,claude-sonnet-5,anthropic_sonnet5
453,anthropic,claude-sonnet-5,anthropic_sonnet5
454,anthropic,claude-sonnet-5,anthropic_sonnet5
455,openai,gpt-5.6-sol,openai_gpt56_sol
456,anthropic,claude-sonnet-5,anthropic_sonnet5
457,anthropic,claude-sonnet-5,anthropic_sonnet5
458,openai,gpt-5.6-sol,openai_gpt56_sol
459,openai,gpt-5.6-sol,openai_gpt56_sol
460,openai,gpt-5.6-sol,openai_gpt56_sol
461,anthropic,claude-sonnet-5,anthropic_sonnet5
462,openai,gpt-5.6-sol,openai_gpt56_sol
463,openai,gpt-5.6-sol,openai_gpt56_sol
464,openai,gpt-5.6-sol,openai_gpt56_sol
465,openai,gpt-5.6-sol,openai_gpt56_sol
466,openai,gpt-5.6-sol,openai_gpt56_sol
467,openai,gpt-5.6-sol,openai_gpt56_sol
468,openai,gpt-5.6-sol,openai_gpt56_sol
469,openai,gpt-5.6-sol,openai_gpt56_sol
470,openai,gpt-5.6-sol,openai_gpt56_sol
471,openai,gpt-5.6-sol,openai_gpt56_sol
472,openai,gpt-5.6-sol,openai_gpt56_sol
473,openai,gpt-5.6-sol,openai_gpt56_sol
474,openai,gpt-5.6-sol,openai_gpt56_sol
475,openai,gpt-5.6-sol,openai_gpt56_sol
476,openai,gpt-5.6-sol,openai_gpt56_sol
477,openai,gpt-5.6-sol,openai_gpt56_sol
478,openai,gpt-5.6-sol,openai_gpt56_sol
479,openai,gpt-5.6-sol,openai_gpt56_sol
480,openai,gpt-5.6-sol,openai_gpt56_sol
481,openai,gpt-5.6-sol,openai_gpt56_sol
482,openai,gpt-5.6-sol,openai_gpt56_sol
483,openai,gpt-5.6-sol,openai_gpt56_sol
484,openai,gpt-5.6-sol,openai_gpt56_sol
485,openai,gpt-5.6-sol,openai_gpt56_sol
486,anthropic,claude-sonnet-5,anthropic_sonnet5
487,anthropic,claude-sonnet-5,anthropic_sonnet5
488,anthropic,claude-sonnet-5,anthropic_sonnet5
489,anthropic,claude-sonnet-5,anthropic_sonnet5
490,anthropic,claude-sonnet-5,anthropic_sonnet5
491,anthropic,claude-sonnet-5,anthropic_sonnet5
492,anthropic,claude-sonnet-5,anthropic_sonnet5
493,anthropic,claude-sonnet-5,anthropic_sonnet5
494,anthropic,claude-sonnet-5,anthropic_sonnet5
495,anthropic,claude-sonnet-5,anthropic_sonnet5
496,anthropic,claude-sonnet-5,anthropic_sonnet5
497,anthropic,claude-sonnet-5,anthropic_sonnet5
498,anthropic,claude-sonnet-5,anthropic_sonnet5
499,anthropic,claude-sonnet-5,anthropic_sonnet5
500,anthropic,claude-sonnet-5,anthropic_sonnet5
501,anthropic,claude-sonnet-5,anthropic_sonnet5
502,anthropic,claude-sonnet-5,anthropic_sonnet5
503,anthropic,claude-sonnet-5,anthropic_sonnet5
504,anthropic,claude-sonnet-5,anthropic_sonnet5
505,anthropic,claude-sonnet-5,anthropic_sonnet5
506,anthropic,claude-sonnet-5,anthropic_sonnet5
507,anthropic,claude-sonnet-5,anthropic_sonnet5
